map,scenario,evacuee_density,average_completion_time,average_survival_rate
offices_1,no aids,small,145.9,"[38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.8, 37.8, 37.8, 37.8, 37.8, 37.7, 37.7, 37.5, 37.4, 37.4, 37.2, 37.2, 37.2, 37.2, 37.0, 36.8, 36.5, 36.3, 36.2, 35.8, 35.6, 35.6, 35.4, 35.4, 35.4, 35.4, 35.3, 35.2, 35.2, 35.0, 34.9, 34.8, 34.8, 34.6, 34.6, 34.4, 34.4, 34.2, 34.2, 34.2, 33.9, 33.6, 33.5, 33.3, 33.2, 32.4, 32.3, 32.2, 32.0, 31.8, 31.5, 31.4, 31.2, 31.0, 30.9, 30.8, 30.7, 30.5, 30.1, 29.9, 29.6, 29.5, 29.1, 29.1, 28.8, 28.6, 28.3, 28.3, 28.2, 27.9, 27.8, 27.7, 27.2, 27.2, 26.9, 26.6, 26.4, 26.2, 25.8, 25.7, 25.5, 25.4, 25.1, 25.1, 24.9, 24.8, 24.7, 24.5, 24.5, 24.2, 24.0, 23.9, 23.8, 23.6, 23.6, 23.6, 23.5, 23.4, 23.3, 23.3, 23.2, 23.2, 23.2, 23.2, 23.2, 23.2, 23.2, 23.1, 23.0, 23.0, 23.0, 22.8, 22.8, 22.7, 22.7, 22.7, 22.5, 22.5, 22.3, 22.3, 22.1, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.9, 21.8, 21.8, 21.7, 21.7, 21.7, 21.7, 21.6, 21.5, 21.4]"
offices_1,no aids,medium,149.6,"[114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 113.9, 113.8, 113.7, 113.7, 113.5, 113.5, 113.5, 113.5, 113.5, 113.5, 113.4, 113.3, 113.3, 113.2, 113.2, 113.2, 113.0, 112.7, 112.7, 112.4, 112.1, 112.0, 111.8, 111.7, 111.4, 111.3, 110.6, 110.3, 110.0, 109.9, 109.8, 109.7, 109.0, 108.7, 108.1, 107.6, 107.5, 107.1, 106.4, 106.1, 105.5, 105.2, 104.6, 104.1, 103.6, 103.4, 102.6, 102.0, 101.4, 100.9, 100.5, 100.1, 99.3, 98.9, 98.2, 97.7, 96.9, 96.2, 95.6, 95.1, 94.6, 94.5, 93.9, 93.7, 93.2, 92.7, 92.3, 91.5, 91.0, 90.3, 89.5, 88.3, 87.5, 86.8, 85.9, 85.4, 84.8, 84.4, 83.6, 83.1, 82.9, 82.5, 81.5, 80.8, 80.2, 79.6, 79.5, 79.0, 78.4, 78.0, 77.6, 77.2, 76.5, 76.1, 75.4, 74.9, 74.9, 74.4, 74.2, 73.9, 73.4, 72.9, 72.5, 72.3, 71.9, 71.6, 70.8, 70.3, 69.7, 69.4, 69.2, 69.0, 68.6, 68.5, 68.3, 68.1, 67.8, 67.4, 66.9, 66.1, 66.0, 65.8, 65.8, 65.5, 65.2, 64.8, 64.8, 64.7, 64.2, 63.9, 63.5, 63.0, 62.9, 62.5, 62.4, 62.1, 61.7, 61.5, 61.5, 61.3, 61.0, 60.9, 60.7, 60.7, 60.7, 60.5, 60.5, 60.4, 60.4, 60.4, 60.2, 60.0, 60.0, 59.9, 59.9, 59.9, 59.6, 59.5, 59.3, 59.3, 59.3, 59.3, 59.2]"
offices_1,no aids,large,151.4,"[191.0, 191.0, 191.0, 191.0, 191.0, 191.0, 190.9, 190.9, 190.9, 190.7, 190.7, 190.7, 190.7, 190.7, 190.6, 190.5, 190.4, 190.4, 190.3, 190.2, 190.1, 190.1, 189.9, 189.9, 189.7, 189.6, 189.5, 189.2, 189.1, 188.6, 188.4, 188.0, 187.2, 187.1, 187.1, 186.7, 186.4, 186.2, 185.5, 185.2, 184.7, 183.9, 182.9, 182.4, 181.1, 180.7, 180.4, 180.1, 179.5, 178.9, 178.2, 177.6, 176.8, 176.1, 175.5, 175.1, 173.8, 173.2, 172.6, 171.9, 171.4, 170.5, 169.3, 168.5, 167.0, 166.2, 165.1, 163.6, 161.7, 161.3, 159.6, 158.8, 157.9, 157.4, 156.3, 155.2, 154.0, 152.9, 151.8, 150.5, 148.6, 147.7, 146.4, 145.6, 144.2, 143.4, 142.1, 140.6, 139.2, 138.3, 136.2, 135.4, 133.8, 132.2, 131.2, 130.7, 129.7, 128.6, 127.4, 126.4, 125.3, 124.8, 123.7, 122.9, 122.0, 121.1, 120.2, 119.9, 118.9, 118.2, 117.4, 116.7, 115.9, 115.4, 114.5, 114.3, 113.5, 112.6, 111.7, 111.1, 110.2, 109.7, 109.0, 108.7, 108.2, 107.4, 106.6, 105.4, 104.7, 103.6, 103.2, 102.8, 102.6, 101.9, 101.2, 100.2, 99.6, 98.8, 98.2, 97.4, 96.3, 95.5, 94.7, 94.5, 93.3, 92.4, 91.4, 90.6, 89.6, 88.8, 87.8, 87.3, 86.5, 86.1, 85.6, 84.9, 84.5, 83.7, 83.4, 83.2, 82.8, 82.8, 82.6, 82.4, 81.9, 81.6, 81.3, 81.2, 81.2, 81.1, 81.0, 81.0, 81.0, 81.0, 81.0, 80.9]"
offices_1,lightstrips,small,143.7,"[38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.9, 37.8, 37.8, 37.8, 37.8, 37.8, 37.7, 37.7, 37.4, 37.3, 37.3, 37.1, 37.0, 37.0, 37.0, 36.7, 36.5, 36.2, 36.0, 35.9, 35.7, 35.7, 35.5, 35.3, 35.3, 35.3, 35.3, 35.0, 34.9, 34.8, 34.8, 34.8, 34.5, 34.5, 34.3, 34.3, 34.2, 33.7, 33.5, 33.3, 33.3, 33.2, 33.2, 32.9, 32.9, 32.8, 32.6, 31.9, 31.7, 31.4, 31.3, 31.1, 30.9, 30.8, 30.7, 30.7, 30.7, 30.6, 30.6, 30.6, 30.3, 29.9, 29.6, 29.3, 29.3, 29.1, 28.8, 28.5, 28.3, 27.9, 27.5, 27.3, 27.1, 26.8, 26.6, 26.4, 26.4, 26.2, 26.2, 25.9, 25.8, 25.7, 25.6, 25.5, 25.4, 25.1, 25.0, 24.9, 24.6, 24.4, 24.1, 24.0, 24.0, 23.9, 23.7, 23.4, 23.3, 23.3, 23.3, 23.2, 23.0, 22.9, 22.6, 22.6, 22.6, 22.3, 22.1, 22.1, 22.1, 22.0, 22.0, 21.9, 21.7, 21.6, 21.6, 21.6, 21.4, 21.4, 21.3, 21.3, 21.3, 21.2, 21.2, 21.2, 21.2, 21.2, 21.2, 21.1, 21.1, 21.1, 21.1, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 20.9, 20.8, 20.7, 20.7, 20.7, 20.6]"
offices_1,lightstrips,medium,145.9,"[114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 113.9, 113.8, 113.7, 113.7, 113.5, 113.5, 113.5, 113.5, 113.5, 113.5, 113.4, 113.3, 113.3, 113.2, 113.1, 113.1, 113.1, 112.6, 112.6, 112.3, 112.0, 111.8, 111.5, 111.5, 111.0, 110.8, 110.0, 109.8, 109.3, 109.1, 108.8, 108.4, 108.2, 108.0, 107.6, 107.6, 107.1, 106.8, 106.3, 106.1, 105.7, 105.4, 104.9, 104.3, 103.6, 103.2, 102.8, 102.1, 101.3, 101.0, 100.5, 100.3, 99.8, 98.8, 98.0, 97.5, 96.7, 96.0, 95.1, 94.6, 94.2, 93.7, 93.4, 92.8, 92.2, 91.9, 91.4, 91.1, 90.3, 89.2, 88.7, 88.1, 87.4, 86.8, 86.2, 85.6, 84.9, 84.4, 83.7, 83.5, 82.9, 82.7, 82.1, 81.7, 81.1, 80.6, 79.6, 79.0, 78.5, 78.4, 77.9, 77.2, 76.4, 76.0, 75.4, 75.3, 74.7, 74.7, 74.4, 73.9, 73.4, 73.3, 73.0, 72.8, 72.1, 71.7, 71.1, 70.6, 70.4, 69.9, 69.6, 69.0, 68.9, 68.9, 68.7, 68.2, 68.1, 67.9, 66.9, 66.4, 66.2, 66.2, 66.0, 65.6, 65.0, 64.9, 64.4, 64.1, 63.6, 63.4, 62.9, 62.6, 62.5, 62.5, 62.4, 62.2, 62.1, 61.8, 61.6, 61.6, 61.2, 61.0, 61.0, 60.8, 60.7, 60.6, 60.5, 60.5, 60.4, 60.4, 60.3, 60.3, 60.3, 60.1, 59.9, 59.9, 59.9, 59.9, 59.8, 59.8, 59.8, 59.8, 59.7]"
offices_1,lightstrips,large,149.0,"[191.0, 191.0, 191.0, 191.0, 191.0, 191.0, 190.9, 190.9, 190.9, 190.7, 190.7, 190.7, 190.7, 190.7, 190.6, 190.5, 190.4, 190.4, 190.3, 190.2, 190.1, 190.1, 189.9, 189.9, 189.7, 189.6, 189.5, 189.2, 189.1, 188.7, 188.4, 188.1, 187.4, 187.0, 186.9, 186.7, 186.3, 186.1, 185.5, 185.1, 184.6, 183.8, 182.9, 182.6, 181.4, 180.6, 180.3, 179.7, 179.2, 178.6, 178.0, 177.6, 177.0, 176.5, 175.8, 175.3, 174.1, 173.6, 172.7, 171.3, 170.6, 169.4, 168.2, 167.5, 165.7, 164.8, 163.7, 162.9, 161.8, 160.7, 159.1, 158.4, 157.1, 156.1, 155.0, 154.4, 153.3, 152.0, 150.3, 149.3, 147.8, 146.4, 145.8, 145.2, 144.0, 143.7, 141.9, 140.7, 139.4, 137.9, 136.2, 135.4, 133.8, 132.8, 131.2, 130.3, 129.1, 128.0, 127.0, 126.2, 124.9, 124.0, 123.2, 122.3, 121.4, 120.9, 120.1, 119.4, 118.7, 118.0, 117.1, 116.7, 116.0, 115.4, 113.8, 113.1, 112.4, 111.8, 111.1, 110.8, 110.1, 109.7, 108.3, 107.4, 106.5, 106.2, 105.3, 105.0, 104.3, 103.5, 103.0, 102.3, 101.9, 101.3, 100.2, 99.3, 98.5, 97.8, 96.8, 95.5, 94.5, 94.0, 92.5, 91.3, 91.1, 90.6, 89.7, 89.4, 89.1, 88.4, 87.0, 86.8, 86.2, 85.7, 84.9, 84.1, 83.8, 83.6, 83.2, 83.0, 82.8, 82.6, 82.4, 82.0, 81.8, 81.8, 81.8, 81.8, 81.7, 81.6, 81.3, 81.3, 81.2, 81.1, 81.1, 81.1, 81.0]"
offices_1,firealarms,small,109.6,"[38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 37.9, 37.9, 37.8, 37.8, 37.8, 37.8, 37.8, 37.8, 37.7, 37.6, 37.4, 37.4, 37.2, 37.1, 36.9, 36.9, 36.6, 36.6, 36.4, 36.3, 36.3, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.1, 36.0, 36.0, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.8, 35.8, 35.8, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7]"
offices_1,firealarms,medium,132.8,"[114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 113.9, 113.9, 113.8, 113.8, 113.8, 113.7, 113.7, 113.7, 113.7, 113.6, 113.6, 113.4, 113.1, 112.8, 112.6, 112.0, 111.6, 111.5, 111.0, 110.7, 110.5, 110.3, 110.0, 109.7, 109.6, 109.0, 108.3, 108.1, 107.5, 107.2, 107.1, 107.0, 106.8, 106.8, 106.8, 106.8, 106.6, 106.5, 106.4, 106.4, 106.2, 106.1, 105.9, 105.8, 105.6, 105.2, 104.8, 104.6, 104.5, 104.4, 104.2, 104.2, 104.2, 103.9, 103.7, 103.6, 103.4, 103.1, 102.9, 102.6, 102.3, 102.2, 101.8, 101.7, 101.5, 101.4, 101.4, 101.4, 101.4, 101.3, 101.3, 101.0, 101.0, 101.0, 100.9, 100.8, 100.8, 100.8, 100.8, 100.8, 100.4, 100.4, 100.4, 100.4, 100.4, 100.4, 100.2, 100.2, 100.2, 100.2, 100.2, 100.2, 100.2, 100.2, 100.2, 100.2, 100.2, 100.1, 100.1, 99.9, 99.9, 99.9, 99.8, 99.8, 99.8, 99.7, 99.7, 99.7, 99.7, 99.7, 99.7, 99.7, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3, 99.3]"
offices_1,firealarms,large,138.3,"[191.0, 191.0, 191.0, 191.0, 191.0, 191.0, 190.9, 190.9, 190.9, 190.6, 190.6, 190.6, 190.6, 190.6, 190.5, 190.5, 190.4, 190.3, 190.2, 190.2, 190.1, 189.9, 189.6, 189.4, 188.8, 188.5, 188.4, 187.8, 187.5, 187.3, 186.9, 186.4, 185.5, 184.9, 184.3, 183.7, 182.6, 182.2, 181.3, 180.9, 180.5, 180.2, 179.4, 178.5, 177.9, 177.6, 177.1, 176.4, 175.9, 175.4, 174.8, 174.4, 173.4, 172.8, 172.1, 171.3, 170.7, 169.6, 168.8, 168.1, 167.5, 167.0, 166.2, 165.3, 164.7, 163.7, 163.3, 162.4, 161.4, 160.7, 159.3, 158.8, 158.0, 157.5, 156.9, 156.3, 155.5, 154.9, 154.2, 153.6, 153.1, 152.4, 152.0, 151.8, 151.6, 151.0, 150.7, 150.4, 150.1, 149.9, 149.6, 149.5, 149.2, 148.5, 148.2, 147.6, 147.3, 147.0, 146.9, 146.6, 146.2, 145.6, 145.4, 145.3, 144.9, 144.8, 144.3, 143.8, 143.3, 142.8, 142.3, 141.6, 141.4, 140.7, 140.5, 140.0, 139.6, 139.1, 138.8, 138.6, 137.6, 137.2, 136.8, 136.3, 135.5, 135.1, 134.7, 134.4, 134.2, 133.6, 133.0, 132.8, 132.8, 132.4, 132.1, 132.1, 131.7, 131.3, 130.7, 130.6, 129.7, 129.0, 128.6, 128.1, 127.7, 127.3, 126.8, 126.5, 126.1, 125.5, 125.4, 125.2, 124.8, 124.5, 124.2, 124.0, 123.6, 123.4, 122.8, 122.5, 122.4, 122.2, 122.1, 121.8, 121.8, 121.7, 121.7, 121.7, 121.7, 121.7, 121.6, 121.6, 121.5, 121.5]"
offices_1,combined,small,113.2,"[38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 37.9, 37.9, 37.8, 37.8, 37.8, 37.8, 37.8, 37.8, 37.7, 37.6, 37.4, 37.4, 37.2, 37.2, 36.9, 36.9, 36.6, 36.5, 36.5, 36.4, 36.4, 36.3, 36.3, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.2, 36.1, 36.0, 36.0, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.8, 35.8, 35.8, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7, 35.7]"
offices_1,combined,medium,132.8,"[114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 113.9, 113.9, 113.8, 113.8, 113.8, 113.7, 113.7, 113.7, 113.7, 113.6, 113.6, 113.4, 113.0, 112.6, 112.5, 112.0, 111.5, 111.4, 111.2, 110.9, 110.6, 110.5, 110.1, 109.8, 109.8, 109.1, 108.7, 108.4, 107.9, 107.5, 107.3, 107.3, 107.2, 107.2, 107.0, 106.9, 106.7, 106.7, 106.3, 106.2, 106.1, 106.1, 106.0, 105.8, 105.7, 105.1, 104.8, 104.6, 104.4, 104.1, 104.0, 103.8, 103.8, 103.6, 103.6, 103.5, 103.5, 103.2, 102.8, 102.6, 102.5, 102.4, 102.3, 102.1, 102.1, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 101.8, 101.7, 101.6, 101.5, 101.5, 101.2, 101.1, 101.1, 101.1, 101.0, 101.0, 101.0, 100.9, 100.9, 100.8, 100.8, 100.8, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.7, 100.6, 100.5, 100.4, 100.4, 100.4, 100.4, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3, 100.3]"
offices_1,combined,large,138.5,"[191.0, 191.0, 191.0, 191.0, 191.0, 191.0, 190.9, 190.9, 190.9, 190.6, 190.6, 190.6, 190.6, 190.6, 190.5, 190.5, 190.4, 190.3, 190.2, 190.2, 190.1, 189.9, 189.6, 189.4, 188.8, 188.4, 188.4, 187.8, 187.5, 187.0, 186.5, 186.3, 185.7, 185.2, 184.5, 183.8, 183.0, 182.7, 181.6, 181.2, 180.9, 180.6, 179.9, 178.9, 178.4, 178.0, 177.4, 176.7, 176.4, 175.2, 174.3, 173.8, 172.9, 172.4, 171.9, 171.3, 170.2, 169.8, 168.9, 168.5, 168.0, 167.2, 166.5, 165.8, 164.7, 163.9, 163.1, 162.5, 162.0, 161.3, 160.7, 160.4, 159.8, 159.5, 159.0, 158.5, 158.0, 157.9, 157.5, 157.0, 156.9, 156.6, 156.5, 155.8, 155.4, 155.0, 154.6, 154.3, 154.1, 153.6, 153.2, 152.6, 152.1, 151.9, 151.6, 151.5, 151.2, 150.9, 150.8, 150.5, 149.9, 149.4, 149.3, 148.8, 148.4, 148.3, 148.3, 147.8, 147.7, 147.1, 146.3, 146.0, 145.6, 145.4, 145.4, 145.1, 145.0, 144.9, 144.5, 144.0, 143.9, 143.8, 143.7, 143.7, 143.5, 143.5, 143.3, 143.1, 142.9, 142.5, 142.3, 142.2, 141.3, 141.0, 140.8, 140.6, 140.3, 139.8, 139.5, 138.9, 138.4, 137.9, 137.3, 136.7, 136.2, 135.5, 135.4, 134.3, 133.5, 132.9, 132.3, 132.0, 131.4, 131.1, 130.9, 130.8, 130.2, 130.0, 129.8, 129.6, 129.4, 129.1, 129.0, 128.9, 128.9, 128.8, 128.8, 128.7]"
